ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price
TSN,2026-01-05,2026-01-20,2026-01-21,60.6399,56.3948,-7.00%,69.1301,56.3948,PENDING,,
TT,2025-12-12,2026-02-09,2026-02-10,460.56,390.3012,-15.26%,601.0775,390.3012,PENDING,,
TTD,2017-03-21,2017-05-12,2017-05-15,5.202,3.6994,-28.89%,8.2072,3.6994,PENDING,,
TTD,2017-03-27,2017-05-12,2017-05-15,5.202,3.5107,-32.51%,8.5845,3.5107,PENDING,,
TTD,2023-03-10,2023-05-18,2023-05-19,67.59,52.8784,-21.77%,97.0132,52.8784,PENDING,,
TTD,2023-03-13,2023-05-18,2023-05-19,67.59,51.9076,-23.20%,98.9548,51.9076,PENDING,,
TTWO,2024-12-18,2025-02-07,2025-02-10,210.01,181.6938,-13.48%,266.6423,181.6938,PENDING,,
TXT,2011-12-14,2012-01-11,2012-01-12,20.8549,16.4924,-20.92%,29.5798,16.4924,PENDING,,
TXT,2013-12-04,2013-12-20,2013-12-23,35.7289,31.1814,-12.73%,44.8239,31.1814,PENDING,,
TXT,2022-10-13,2022-10-28,2022-10-31,67.3469,58.6458,-12.92%,84.7491,58.6458,PENDING,,
TYL,2020-06-15,2020-10-09,2020-10-12,392.93,333.4286,-15.14%,511.9327,333.4286,PENDING,,
UAL,2018-06-25,2018-07-18,2018-07-19,80.0,70.9984,-11.25%,98.0031,70.9984,PENDING,,
UAL,2025-11-17,2025-12-03,2025-12-04,108.72,89.3411,-17.82%,147.4778,89.3411,PENDING,,
UDR,2024-02-07,2024-05-06,2024-05-07,36.3092,31.9531,-12.00%,45.0214,31.9531,PENDING,,
UDR,2024-02-13,2024-05-06,2024-05-07,36.3092,31.4546,-13.37%,46.0184,31.4546,PENDING,,
UDR,2026-01-28,2026-02-10,2026-02-11,40.0,36.2669,-9.33%,47.4662,36.2669,PENDING,,
UHS,2006-05-24,2006-07-28,2006-07-31,25.4808,23.0702,-9.46%,30.3019,23.0702,PENDING,,
UHS,2014-06-26,2014-07-25,2014-07-28,99.9358,89.7456,-10.20%,120.3161,89.7456,PENDING,,
UHS,2014-07-08,2014-07-25,2014-07-28,99.9358,88.1611,-11.78%,123.485,88.1611,PENDING,,
ULTA,2022-07-05,2022-09-07,2022-09-08,440.76,368.9128,-16.30%,584.4544,368.9128,PENDING,,
ULTA,2025-10-29,2025-12-05,2025-12-08,611.84,502.1891,-17.92%,831.1419,502.1891,PENDING,,
ULTA,2025-11-17,2025-12-05,2025-12-08,611.84,509.5518,-16.72%,816.4166,509.5518,PENDING,,
ULTA,2025-11-19,2025-12-05,2025-12-08,611.84,496.4092,-18.87%,842.7017,496.4092,PENDING,,
UNH,2012-01-25,2012-02-14,2012-02-15,43.6218,40.2596,-7.71%,50.3463,40.2596,PENDING,,
UNP,2017-01-05,2017-01-20,2017-01-23,88.6026,82.5555,-6.82%,100.6967,82.5555,PENDING,,
UNP,2025-10-23,2025-12-12,2025-12-15,238.7523,217.5285,-8.89%,281.1999,217.5285,PENDING,,
UPS,2009-05-13,2009-09-11,2009-09-14,33.4541,29.1845,-12.76%,41.9933,29.1845,PENDING,,
UPS,2010-02-05,2010-03-17,2010-03-18,36.5621,32.6313,-10.75%,44.4239,32.6313,PENDING,,
USB,2009-06-23,2009-08-05,2009-08-06,14.2596,10.2599,-28.05%,22.2588,10.2599,PENDING,,
USB,2009-07-08,2009-08-05,2009-08-06,14.2596,10.0497,-29.52%,22.6793,10.0497,PENDING,,
USB,2009-09-01,2009-10-14,2009-10-15,14.6487,12.9676,-11.48%,18.0109,12.9676,PENDING,,
USB,2009-09-02,2009-10-14,2009-10-15,14.6487,12.656,-13.60%,18.6339,12.656,PENDING,,
USB,2023-09-13,2023-12-08,2023-12-11,36.47,31.3209,-14.12%,46.7682,31.3209,PENDING,,
V,2020-10-26,2020-12-30,2020-12-31,210.1888,185.3191,-11.83%,259.9283,185.3191,PENDING,,
V,2022-12-07,2023-01-10,2023-01-11,215.8993,200.5339,-7.12%,246.6302,200.5339,PENDING,,
VICI,2021-03-25,2021-04-16,2021-04-19,23.3944,20.6726,-11.63%,28.8378,20.6726,PENDING,,
VICI,2026-01-28,2026-02-09,2026-02-10,29.12,27.8239,-4.45%,31.7121,27.8239,PENDING,,
VICI,2026-01-30,2026-02-09,2026-02-10,29.12,27.609,-5.19%,32.1419,27.609,PENDING,,
VLO,2016-11-30,2016-12-07,2016-12-08,47.1251,42.0874,-10.69%,57.2004,42.0874,PENDING,,
