,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
173,CVNA,True,17,47,12,15,0,7,372.3613075555975,0.0,444.241973333059
174,CASY,True,77,19,20,37,0,11,759.4111939043199,0.0,542.7505653773259
175,CAT,True,16,23,41,11,0,24,781.8253468045085,0.0,720.7822574208034
176,CBOE,True,18,18,20,11,0,15,294.8171609009774,0.0,287.5825596803793
177,CBRE,False,1,15,44,0,10,0,0.0,143.30899675814402,0.0
178,CDW,True,16,37,6,9,0,4,131.19837432600565,0.0,127.40488217847184
179,COR,False,59,14,29,0,8,0,0.0,343.44726801995364,0.0
180,CNC,True,19,17,13,16,0,10,39.85422869496387,0.0,41.70167013849751
181,CNP,False,13,6,9,0,3,0,0.0,42.38645776133928,0.0
182,CF,False,15,66,54,0,41,0,0.0,123.18809716127723,0.0
183,CRL,False,5,16,39,0,12,0,0.0,171.49752390782237,0.0
184,SCHW,False,10,6,7,0,4,0,0.0,91.83138689884616,0.0
185,CVX,False,20,63,26,0,48,0,0.0,201.0930369858061,0.0
186,CMG,False,3,15,40,0,11,0,0.0,33.780127917359636,0.0
187,CB,False,38,24,16,0,16,0,0.0,327.82579880209363,0.0
188,CHD,True,15,24,52,6,0,28,92.9354032041978,0.0,100.56055545057355
189,CIEN,True,19,3,9,12,0,6,460.59036177532107,0.0,372.7691573060886
190,CI,True,18,20,20,10,0,7,273.83257269459625,0.0,275.3896414684271
191,CINF,True,16,14,12,11,0,3,162.6213749643497,0.0,159.82405403777514
192,C,True,18,5,2,11,0,0,125.36123548831799,0.0,106.47125351211828
193,CFG,True,21,32,53,16,0,41,63.258874327695175,0.0,64.99735482280721
194,CLX,False,7,8,25,0,1,0,0.0,99.82032993720019,0.0
195,CME,False,14,4,7,0,1,0,0.0,295.8632375407451,0.0
196,CMS,False,7,12,9,0,5,0,0.0,76.99755548015744,0.0
197,KO,True,2,5,11,0,0,1,73.59384401491918,0.0,75.11279141636842
198,COHR,False,2,14,6,0,10,0,0.0,307.8660820323911,0.0
199,COIN,False,1,10,15,0,5,0,0.0,185.09538231218497,0.0
200,CL,False,39,38,4,0,32,0,0.0,94.1043239899695,0.0
201,FIX,True,16,22,36,11,0,24,1606.1108391482146,0.0,1326.9032460679678
202,CAG,False,48,18,23,0,13,0,0.0,18.562619719123703,0.0
203,COP,False,16,65,11,0,44,0,0.0,126.57244147525347,0.0
204,ED,False,11,9,8,0,3,0,0.0,111.53142649336417,0.0
205,STZ,False,1,17,34,0,6,0,0.0,152.6473527916975,0.0
206,COO,False,39,11,14,0,7,0,0.0,80.73952703845585,0.0
207,GLW,False,2,23,14,0,15,0,0.0,157.43166263702906,0.0
208,CPAY,False,5,8,25,0,6,0,0.0,315.760915348764,0.0
209,CTVA,False,11,23,5,0,12,0,0.0,81.47293789743573,0.0
210,CTRA,True,1,19,49,0,0,36,32.02503331448617,0.0,34.24904474511931
211,CRH,True,16,29,10,10,0,1,111.06108960302123,0.0,119.88328272484871
212,CCI,True,19,15,18,12,0,11,83.17163710670911,0.0,85.2860384830285
213,CMI,True,17,41,67,13,0,41,618.954346346107,0.0,567.6759137318635
214,CVS,True,17,18,7,7,0,2,76.12646263730757,0.0,75.54918817548962
215,DHR,False,6,10,48,0,4,0,0.0,187.5168913611983,0.0
216,DRI,True,9,31,19,4,0,8,193.1798167756656,0.0,206.65651487414294
217,DVA,True,5,14,41,2,0,22,146.2409567345819,0.0,148.29634979327673
218,DECK,False,1,15,25,0,9,0,0.0,104.33772129590021,0.0
219,DE,False,4,12,16,0,4,0,0.0,570.3128514101096,0.0
220,DELL,True,43,10,2,31,0,0,198.6896977837018,0.0,112.03103940892908
221,DAL,True,31,18,11,14,0,4,63.823740124676554,0.0,67.65350805234965
222,DVN,True,1,19,47,0,0,34,45.70869711275727,0.0,49.008409650770645
223,DLR,False,2,17,9,0,13,0,0.0,195.83832751486457,0.0
224,DG,False,3,6,30,0,2,0,0.0,119.55383855520395,0.0
225,DLTR,False,42,11,15,0,5,0,0.0,123.94431390942461,0.0
226,D,False,7,9,24,0,2,0,0.0,61.66634309861479,0.0
227,DPZ,False,3,15,12,0,4,0,0.0,356.35234391782495,0.0
228,DOV,True,16,25,91,9,0,49,210.80748261548143,0.0,222.92555122566878
229,DOW,False,15,25,5,0,21,0,0.0,39.00524289216551,0.0
230,DHI,True,15,27,34,12,0,13,147.47322187347908,0.0,155.8458069805203
231,DTE,False,8,7,13,0,1,0,0.0,146.48815258493286,0.0
232,DUK,False,11,8,9,0,4,0,0.0,129.53281728357337,0.0
233,DD,False,1,15,23,0,7,0,0.0,45.10565720616686,0.0
234,ETN,True,16,6,4,12,0,1,399.22288611054944,0.0,350.75998287785677
235,EBAY,False,4,16,3,0,13,0,0.0,100.3458584061565,0.0
236,SATS,False,4,38,21,0,13,0,0.0,119.46031296347945,0.0
